Meaning,,Jurchen,,,,,,Manchu,,,,,,Xibe,,,,,,Hezhe,,,,,,Kur-Urmì,,,,,,Bikin Nanai,,,,,,Najkhin Nanai,,,,,,Ulch,,,,,,Orok,,,,,,Udihe,,,,,,Oroch,,,,,,Solon,,,,,,Oroqen,,,,,,Khamnigan Evenki,,,,,,Stony Tunguska Evenki (Southern),,,,,,"Strelka-Chunya Evenki (Krasnoyarsk krai, Evenki municipal district; Southern)",,,,,,"Tutonchany Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",,,,,,"Chiringda Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",,,,,,"Teteya Evenki (Irkutsk oblast, Katangskiy district; Northern)",,,,,,Negidal,,,,,,Even,,,,,
,root,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basìc orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References
tongue (n.),iləŋgi,ilenggi,iləŋgi,iləŋgi,,,Kane 1989: 315,ilenggu,iləŋgu,iləŋgu,trigger of a trap; wooden stick hanging from the nose ring of a domestic beast; clapper,,Norman 1978: 146,iliŋ,iliŋ,iliŋ,,,Li 1986: 148,iləŋgu,iləŋgu,iləŋqu,,,Zhang et al. 1989: 142,ilèŋgu,iləŋgu,iləŋgu,,,Sunik 1958: 175,s'irmè,sirmə,sjirmə,,,Sem 1976: 183,singmu,siŋmu,siŋmwu,,,Onenko 1980: 365,sin'u,sińu,siɲu,,,Sunik 1985: 232,sinu,sinu,ʃinu,,,Ikegami 1997: 186,iŋi,iŋi,iŋi,,,Girfanova 2001: 153,iňi,iŋi,iŋi,,,"Avrorin, Lebedeva 1978: 189",ingi,iŋi,iŋi,,,Dorji 1998: 334,iŋŋi,iŋŋi,iŋːi,,,Hu 1986: 194,inni,inni,inːi,,,Tsumagari 1992: 100,inni,inni,ɨnːɨ,,,Vasilevich 1958: 174,,,,,,,,,,,,,,,,,,,,,,,,,in'n'i ~ in'ňi,ińńi ~ ińŋi,iɲːi ~ iɲŋi,,,Cincius 1982: 226,iēnŋă,ienŋe,ienŋe,,,Novikova 1980: 176
,čoːli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,čoːli,t͡ʃoːli,,,,,soːliː,soːliː,,,,,čoliː,t͡ʃoliː,,,,,čoːliː,t͡ʃoːliː,speech,,,,,,,,,,,,,,
blood (n.),šəŋgi,šenggi,šəŋgi,ʃəŋgi,,,Kane 1989: 322,senggi,səŋgi,səŋgji,,,Norman 1978: 238,ɕiŋ,siŋ,ɕiŋ,,,Li 1986: 149,səksə,səksə,səkhsə,,,Zhang et al. 1989: 122,sèksè,səksə,səksə,,,Sunik 1958: 191,sè̄ksè,səːksə,səːksə,,,Sem 1976: 186,sè̄ksè,səːksə,səːksə,,,Onenko 1980: 383,sè̄ksè,səːksə,səːksə,,,Sunik 1985: 237,səəksə,səːksə,ʃəːkʃə,,,Ikegami 1997: 177,sakeœ,sakä,sakjæ,,,"Girfanova 2001: 261, 284",sè̄ksè,səːksə,səːksə,,,"Avrorin, Lebedeva 1978: 227",seeqqi,šəːšši,səːʃːi,,,Dorji 1998: 588,ʃəəkʃə,šəːkšə,ʃɐːkʃə,,,Hu 1986: 194,səəksə,səːksə,səːksə,,,Tsumagari 1992: 90,sè̄ksè,səːksə,səːksə,,,Vasilevich 1958: 375,,soːxsə,soːxsə,,,,,hoːkśə,hoːkśə,,,,,hoxsə,hoxsə,,,,,xoːkʃə,xoːkʃə,,,,sạ̄ksè ~ sè̄ksè,sọːksə ~ səːksə,sɵːksə ~ səːksə,,,Cincius 1982: 270,,,,,,
,huŋel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ḥuŋèl,huŋel,ħuŋel,,,Novikova 1980: 228
bone (n.),giraŋgi,giranggi,giraŋgi,giraŋgi,,,Kane 1989: 317,giranggi,giraŋgi,gjiraŋgji,,,Norman 1978: 108,giraŋ,giraŋ,girɑŋ,,,Li 1986: 149,giamsə,giamsə,kiamzə,,,Zhang et al. 1989: 122,gìramna ~ gìrmaksa,gịramna ~ gịrmaksa,ɢjɪramna ~ ɢjɪrmaqsa,skeleton,,Sunik 1958: 169,g'írmasa,gịrmasa,gjermasa,skeleton,,Sem 1976: 147,girmaksa,germaksa,gjermaqsa,,,Onenko 1980: 107,gíramsa,geramsa,geramsa,corpse,,Sunik 1985: 184,girapsa,girapsa,girɑpɸsɑ,,,Ikegami 1997: 70,geœmaha,gäma,gjæma,skeleton,,Girfanova 2001: 98,g͜iamsa,giamsa,gjiamsa,,,"Avrorin, Lebedeva 1978: 173",girand,girand,gɪrand,,,Dorji 1998: 222,gɪramna,geramna,geramna,,,Hu 1986: 194,giramda,giramda,gɪramda,,,Tsumagari 1992: 90,geramda ~ giramna,geramda ~ giramna,geramda ~ giramna,,,"Vasilevich 1958: 85, 88",,giramna,giramna,,,,,giramda,giramda,,,,,giramda,giramda,,,,,giramna,giramna,,,,,,,,,,,,,,,
,iːkəji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,īhèǰ ~ īkèǰi,iːhəj ~ iːkəji,iːxəj ~ iːkəji,fish spine,,Cincius 1982: 224,ikări,ikeri,ikeri,skeleton,,Novikova 1980: 177
2SG pronoun,ši,ši,ši,ʃi,,,Kane 1989: 270,si (sin-),si (sin-),sji (sjin-),,direct (oblique),"Norman 1978: 239, 243",ɕi (ɕin-),si (sin-),ɕi (ɕin),,direct (oblique),Li 1986: 67,ɕi (ɕin-),či (čin-),ɕi (ɕin-),,direct (oblique),Zhang et al. 1989: 37,si (sin-),si (sin-),sji (sjin-),,direct (oblique),Sunik 1958: 84,s'i (s'in-),si (sin-),sji (sjin-),,direct (oblique),Sem 1976: 182,si (sin- ~ simbi-),si (sin- ~ simbi-),si (sin- ~ simbi-),,direct (oblique ~ accusative),Avrorin 1959: 250,si (sin-),si (sin-),si (sin-),,direct (oblique),Sunik 1985: 231,sii (sin-),siː (sin-),ʃiː (ʃin-),,direct (oblique),Ikegami 1997: 180,si (sin-),si (sin-),sji (sjin-),,direct (oblique),Girfanova 2001: 268,si (sin-),si (sin-),sji (sjin-),,direct (oblique),Lebedeva 1997: 221,si (sin-),ši (šin-),ʃi (ʃin-),,direct (oblique),Dorji 1998: 603,ʃii (ʃin-),šiː (šin-),ʃiː (ʃin-),,,Hu 1986: 89,sii,siː,ʃiː,,,Tsumagari 1992: 102,si (sin-),si (sin-),sɨ (sɨn-),,direct (oblique),Vasilevich 1958: 348,,śiː,śiː,,,,,hiː,hiː,,,,,hiː,hiː,,,,,hiː,hiː,,,,sī (sin-),siː (sin-),siː (sin-),,direct (oblique),Cincius 1982: 265,ḥī (ḥin-),hiː (hin-),ħiː (ħin-),,direct (oblique),Novikova 1980: 223
root (n.),da,da,da,da,,,Kane 1989: 206,da,da,da,leader; measure; trunk of a tree,,Norman 1978: 50,,,,,,,da,da,ta,,,An 1986: 91,,,,,,,dāca(n),daːca(n),daːʦa(n),,,Sem 1976: 152,dāčan,daːčan,daːʧan,base,,Onenko 1980: 142,dāča(n),daːča(n),daːʧa(n),,,Sunik 1985: 190,daata(n),daːta(n),dɑːtɑ(n),tobacco tree,,Ikegami 1997: 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dagačan,daγat͡ʃan,,the lower part of a tree; lower.part-DIM,,,daramukin ,daramukin,,(??? Doubting as regards the form),,,dagasan,dagasan,,root-DIM,,,,,,,,dā,daː,daː,base,,Cincius 1982: 207,,,,,,
,muiktə,,,,,,,,,,,,,,,,,,,,,,,,,muiktè,muiktə,muiktə,,,Sunik 1958: 183,muiktè ~ muihtè,muiktə ~ muihtə,muiktə ~ muixtə,,,Sem 1976: 173,,,,,,,,,,,,,,,,,,,ŋiŋtə,ŋiŋtə,ŋiŋtə,,,Girfanova 2001: 235,ňiňtè,ŋiŋtə,ŋiŋtə,,small roots of trees and grasses,"Avrorin, Lebedeva 1978: 212",niint,niːnt,niːnt,,,Dorji 1998: 489,,,,,,,niintə,niːntə,ɲiːntə,,,Tsumagari 1992: 97,ngingtè ~ ningtè,ŋiŋtə ~ niŋtə,ŋɨŋtə ~ nɨŋtə,,,"Vasilevich 1958: 280, 295",,ńiŋtə,ɲiŋtə,,,,,ŋiːntə,ŋiːntə,,,,,,,,,,,ńiŋtə,ɲiŋtə,,,,niňtè ~ ňiňtè,niŋtə ~ ŋiŋtə,niŋtə ~ ŋiŋtə,,,Cincius 1982: 247,ŋēŋtă,ŋeːŋte,ŋeːŋte,,,Novikova 1980: 202
,təhə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tèhè,təhə,təxə,,,Sem 1976: 192,tèxè,təhə,təxə,"base, centre",,"Onenko 1980: 423, 142",tèhè,təhə,təxə,base,,Sunik 1985: 245,,təəkkə,tə:k:ə,,,Czerwinski's fielddata,,,,,,,,,,,,,,,,,,,təkən,təkən,təxən,,,Hu 1986: 193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tèhèn ~ tèkèn,təhən ~ təkən,təxən ~ təkən,beginning,,Cincius 1982: 280,,,,,,
,fulxo,,,,,,,,,,,,,fulxw,fulxo,fulxo,,,Li 1986: 147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nəlgə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nəlgə,nəlgə,,,,,,,,,,,,,,,,,,,,,
come (v.),əmə-,,,,,,,,,,,,,,,,,,,əmə-,əmə-,ɜmə-,,,Zhang et al. 1989: 124,èmè-,əmə-,əmə-,,,Sunik 1958: 206,,,,,,,,,,,,,,,,,,,,,,,,,əmə-,əmə-,əmə-,,,Girfanova 2001: 366,èmè-,əmə-,əmə-,,,"Avrorin, Lebedeva 1978: 257",eme-,əmə-,əmə-,,,Dorji 1998: 173,əmə-,əmə-,əmə-,,,Hu 1986: 203,əmə-,əmə-,əmə-,,,Tsumagari 1992: 91,èmè-,əmə-,əmə-,,,Vasilevich 1958: 558,,əmə-,əmə-,,,,,əmə-,əmə-,,,,,əmə-,əmə-,,,,,əmə-,əmə-,,,,èmè-,əmə-,əmə-,,,Cincius 1982: 306,èm-,em-,em-,,,Novikova 1980: 238
,di-,di-u,di-u,diu,,,Kane 1989: 287,ji-,ʤi-,ʤi-,,,Norman 1978: 160,ʥi-,ʤi-,ʥi-,,,Li 1986: 160,,,,,,,,,,,,,d'i- ~ d'idè-,di- ~ didə-,dji- ~ djidə-,,,Sem 1976: 152,di-,ʤi-,ʤi-,,,Onenko 1980: 151,di-,di-,di-,,,Sunik 1985: 190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sinda-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sinda-,sinda-,ʃindɑ-,,,Ikegami 1997: 185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,iši-,iši-ha,iši-ha,iʃixa,,,Kane 1989: 291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,is-,is-,to be enough,,,,,,,,,,,,,,,,,,,,
breast (n.) // (chest) (n.),tuŋgə,tungge,tuŋgə,tuŋgə,,chest,Kane 1989: 319,tunggen,tuŋgən,tuŋgən,,,Norman 1978: 285,tuŋun,tuŋun,thuŋun,,,Li 1986: 148,tiŋən,tiŋən,thiŋən,,chest (another word for female breast),Zhang et al. 1989: 123,tiŋèn,tiŋən,tiŋən,,,Sunik 1958: 193,tuŋgè(n),tuŋgə(n),tuŋgə(n),,,Sem 1976: 191,tungèn,tuŋən,twuŋən,,,Onenko 1980: 411,tuňgè(n),tuŋgə(n),tuŋgə(n),,,Sunik 1985: 242,tuŋə,tuŋə,tuŋə,,,Ikegami 1997: 214,tiŋə,tiŋə,tiŋə,,,Girfanova 2001: 298,tiňè(n),tiŋə(n),tiŋə(n),,,"Avrorin, Lebedeva 1978: 231",,,,,,,,,,,,,tiŋən,tiŋən,tiŋən,,,Tsumagari 1992: 91,,,,,,,,,,,,,,,,,,,,,,,,,,tɨŋən,tɨŋən,,,,tiňèn,tiŋən,tiŋɣən,,,Cincius 1982: 275,tiŋăn,tiŋen,tiŋen,,,Novikova 1980: 211
,hosoptu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xosoptu,hosoptu,χɔsɔptu,,,Ikegami 1997: 241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,həŋgər (< Mong. Cincius (ed.) 1975: 451),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hengger,həŋgər,xəŋgər,,,Dorji 1998: 271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kəːŋtirə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kəəŋtirə,kəːŋtirə,kɐːŋtirə,,,Hu 1986: 194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hikən,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hikèn,hikən,hɨkən,,,Vasilevich 1958: 477,,hikɵːn,hikɵːn,,,,,hikaːn,hikɒːn,,,,,hikon,hikon,,,,,,,,,,,,,,,,,,,,,
rain (n.),tigdə,,,,,,,,,,,,,,,,,,,tigdə,tigdə,thikdə,,,Zhang et al. 1989: 136,tigdè,tigdə,tigdə,,,Sunik 1958: 193,tugdè,tugdə,tugdə,,,Sem 1976: 190,tugdè,tugdə,twugdə,,,Onenko 1980: 408,tugdè,tugdə,tugdə,,,Sunik 1985: 242,tugdə,tugdə,tugdə,,,Ikegami 1997: 212,tigdə,tigdə,tigdə,,,Girfanova 2001: 297,tigdè,tigdə ,tigdə,,,"Avrorin, Lebedeva 1978: 230",,,,,,,tigdə,tegdə,tegdə,,,Hu 1986: 190,,,,,,,tygdè,tygdə,tɨɣdə,,,Vasilevich 1958: 407,,,,,,,,tygda,tɨgdɒ,,,,,tɨgdə,tɨgdə,,,,,,,,,,tigdè,tigdə,tigdə,,,Cincius 1982: 274,,,,,,
,udu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udu,udu,udu,,,"Avrorin, Lebedeva 1978: 240",odong,ụdụŋ,ʊdʊŋ,,,Dorji 1998: 517,,,,,,,udun,udun,ʊdʊn,,,Tsumagari 1992: 97,,,,,,,,udun,udun,,,,,,,,,,,,,,,,,udun-,udun-,,,,,,,,,,údắn,udan,uˁdaˁn,,,Novikova 1980: 218
,agu,agu,agu,agu,,,Kane 1989: 134,aga,aga,aɢa,,,Norman 1978: 7,aχa,aha,ɑɣɑ,,,Li 1986: 143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
