Meaning,,Jurchen,,,,,,Manchu,,,,,,Xibe,,,,,,Hezhe,,,,,,Kur-Urmì,,,,,,Bikin Nanai,,,,,,Najkhin Nanai,,,,,,Ulch,,,,,,Orok,,,,,,Udihe,,,,,,Oroch,,,,,,Solon,,,,,,Oroqen,,,,,,Khamnigan Evenki,,,,,,Stony Tunguska Evenki (Southern),,,,,,"Strelka-Chunya Evenki (Krasnoyarsk krai, Evenki municipal district; Southern)",,,,,,"Tutonchany Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",,,,,,"Chiringda Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",,,,,,"Teteya Evenki (Irkutsk oblast, Katangskiy district; Northern)",,,,,,Negidal,,,,,,Even,,,,,
,root,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basìc orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References
fire (n.),ta,ta,ta,ta,,,Kane 1989: 340,tuwa,tuwa,tuwa,,,Norman 1978: 287,tua,tua,thuɑ,,,Li 1986: 144,to ~ tua,to ~ tua,tho ~ thua,,,An 1986: 87,tō,toː,toː,,,Sunik 1958: 194,tao,tao,tao,,,Sem 1976: 188,tava,tawa,tawa,,,Onenko 1980: 388,tava,tawa,tawa,,,Sunik 1985: 238,tawa,tawa,tɑwɑ,,,Ikegami 1997: 201,tō,toː,thoː,,,Girfanova 2001: 299,tō,toː,tɔː,,,"Avrorin, Lebedeva 1978: 232",tɵḡ,tͻg,tͻɣ,,,Dorji 1998: 691,tɔgɔ,tɔgɔ,tɔɣɔ,,,Hu 1986: 190,togo,togo,toɣo,,,Tsumagari 1992: 93,tovo,towo,towo,heat,,Vasilevich 1958: 390,,toγo,toγo,,,"Hereinafter field data by Svetlana Andreeva and Vasiliy Andreev recorded by Olga Kazakevich and Leonid Zakharov in Strelka-Chunya 2007;
http://lingvodoc.ispras.ru/dictionary/623/4/perspective/623/5/view
http://lingvodoc.ispras.ru/dictionary/623/4/perspective/623/6/view",,toγo,toγo,,,"Hereinafter field data by Konstantin Kombagir recorded by Olga Kazakevich, Evgeniya Golovko and Elena Klyachko in Tutonchany, 2008;
http://lingvodoc.ispras.ru/dictionary/126/3/perspective/126/4/view; 
http://lingvodoc.ispras.ru/dictionary/126/3/perspective/126/5/view",,toγo,toγo,,,"Hereinafter field data by Hristina Eldogir recorded by Olga Kazakevich and Leonid Zakharov in Chiringda 2007;
http://lingvodoc.ispras.ru/dictionary/133/4/perspective/133/5/view
http://lingvodoc.ispras.ru/dictionary/133/4/perspective/133/6/view",,toγo,toγo,,,"Hereinafter field data by Klavdiya Kaplina and Arkadiy Kapling recorded by Olga Kazakevich and Karina Mishchenkova in Teteya, 2018; not published yet",toɣo,togo,toɣʷo,,,Cincius 1982: 275,toɣ,tọg,toˁɣ,,,Novikova 1980: 212
nose (n.),ɔŋɔktɔ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɔŋɔktɔ,ɔŋɔktɔ,ɔŋɔktɔ,,,Hu 1986: 194,oŋokto,oŋokto,oŋokto,,,Tsumagari 1992: 96,ongokto,oŋokto,oŋokto,beak,,Vasilevich 1958: 324,,oŋokto,oŋokto,,,,,oŋokta,oŋoktɒ,,,,,oŋoktɒ,oŋoktɒ,,,,,oŋokto,oŋokto,,,,oňokto,oŋokto,oŋɣokto,beak; bow,,Cincius 1982: 259,oŋắt,ọŋat,oˁŋaˁt,,,Novikova 1980: 204
,oforo,,,,,,,oforo,oforo,oforo,outcropping on a mountain,,Norman 1978: 221,ovur,ovur,ovur,,,Li 1986: 148,ɔfurə,ofurə,ɔfʋrə,,,Zhang et al. 1989: 135,oforo,oforo,oforo,,,Sunik 1958: 187,oforo,oforo,oforo,,,Sem 1976: 179,oporo,oporo,opworwo,,,Onenko 1980: 313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,waksa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vaksa,waksa,waksa,,,Sunik 1985: 180,,,,,,,ŋyhɵ,ŋö,ŋø,,,Girfanova 2001: 235,ňikso,ŋikso,ŋiksɔ,,,"Avrorin, Lebedeva 1978: 212",niinqa,niːnša,nɪːnsa,,,Dorji 1998: 488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,suŋgi,sunggi,suŋgi,suŋgi,,,Kane 1989: 314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hureː,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xuriga(n) ~ xuree,huriga(n) ~ hureː,xuriɣɑ(n) ~ xurɛː,,"neutral word for 'nose'; maybe, < 'mountain'",Ikegami 1997: 247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
go (v.),gəniə,genie,gəniə,gəniə,,,Kane 1989: 287,gene-,gənə-,gənə-,,,Norman 1978: 104,gənə-,gənə-,gɘnɘ-,,,Li 1986: 160,ənə-,ənə-,ɜnə-,,,Zhang et al. 1989: 129,ènè-,ənə-,ənə-,,,Sunik 1958: 206,ènè-,ənə-,ənə-,,,Sem 1976: 210,ènè-,ənə-,ənə-,,,Onenko 1980: 532,ňènè-,ŋənə-,ŋənə-,,,Sunik 1985: 221,ŋənə-,ŋənə-,ŋənə-,,,Ikegami 1997: 143,ŋənə-,ŋənə-,ŋənə-,,,Girfanova 2001: 96,ňènè-,ŋənə-,ŋənə-,,,"Avrorin, Lebedeva 1978: 213",nene-,nənə-,nənə-,,,Dorji 1998: 483,ŋənə-,ŋənə-,ŋənə-,,,Hu 1986: 203,nənə-,nənə-,nənə-,,,Tsumagari 1992: 93,gènè- ~ mènè-,gənə- ~ mənə-,gənə- ~ mənə-,,,"Vasilevich 1958: 100, 271",,ŋənə-,ŋənə-,,,,,ŋənə-,ŋənə-,,,,,ŋənə-,ŋənə-,,,,,ŋənə-,ŋənə-,,,,ňènè-,ŋənə-,ŋənə-,move; ride,,Cincius 1982: 254,ŋèn-,ŋen-,ŋen-,,,Novikova 1980: 203
water (n.),mukə,muke,mukə,mukə,,,Kane 1989: 161,muke,mukə,mukə,river,,Norman 1978: 204,muku,muku,mukhu,,,Li 1986: 143,mukə,mukə,mukhə,,,Zhang et al. 1989: 144,mukè,mukə,mukə,,,Sunik 1958: 183,mukè,mukə,mukə,,,Sem 1976: 173,muè,muə,mwuə,,,Onenko 1980: 274,mū,muː,muː,,,Sunik 1985: 214,mɵɵ ~ muu,mọː ~ muː,mɵː ~ muː,,,Ikegami 1997: 126,,,,,,,mū,muː,muː,,,"Avrorin, Lebedeva 1978: 205",mu,mu,mu,,,Dorji 1998: 455,muu,muː,muː,,,Hu 1986: 190,muu,muː,muː,,,Tsumagari 1992: 101,mū,muː,mʉː,,,Vasilevich 1958: 258,,mu,mu,,,,,muː,muː,,,,,muː,muː,,,,,muː,muː,,,,mū,muː,muː,,,Cincius 1982: 243,mô,mo,mo,,,Novikova 1980: 191
,uli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uli,uli,ulji,river,,Girfanova 2001: 317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mouth (n.),aŋga,angga,aŋga,aŋga,,,Kane 1989: 315,angga,aŋga,aŋɢa,,,Norman 1978: 18,aŋ,aŋ,ɑŋ,,,Li 1986: 148,amŋə,amŋə,amŋə,,,Zhang et al. 1989: 134,amŋa,amŋa,amŋa,,,Sunik 1958: 164,amǧa,amga,amɢa,,,Sem 1976: 138,angma,aŋma,aɴma,hole; word,,Onenko 1980: 41,aňma,aŋma,aŋma,,,Sunik 1985: 173,aŋma,aŋma,ɑŋmɑ,,,Ikegami 1997: 10,aŋma,aŋma,aŋma,,,Girfanova 2001: 39,amma,amma,amːa,,,"Avrorin, Lebedeva 1978: 163",amma,amma,amːa,,,Dorji 1998: 27,amŋa,amŋa,amŋa,,,Hu 1986: 194,amŋa,amŋa,amŋa,,,Tsumagari 1992: 96,amnga,amŋa,amŋa,opening,,Vasilevich 1958: 28,,amŋa,amŋa,,,,,amŋa,amŋa,,,,,amŋa,amŋa,,,,,amma,amma,,,,amňa,amŋa,amŋa,opening,,Cincius 1982: 191,amŋắ,amŋa,aˁmŋaˁ,,,Novikova 1980: 158
