ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Even,Even,even1260,Even,eve,Eurasia,70.6687,130.914,Tungusic
Evenki_Chiringda,"Chiringda Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",hiss1234,Hissing Evenki,eve,Eurasia,,,Tungusic
Evenki_Khamnigan,Khamnigan Evenki,hail1248,Urulyungui Khamnigan Evenki,,Eurasia,,,Tungusic
Evenki_StonyTunguska,Stony Tunguska Evenki (Southern),hiss1234,Hissing Evenki,,Eurasia,,,Tungusic
Evenki_Strelka_Chun,"Strelka-Chunya Evenki (Krasnoyarsk krai, Evenki municipal district; Southern)",hiss1234,Hissing Evenki,eve,Eurasia,,,Tungusic
Evenki_Teteya,"Teteya Evenki (Irkutsk oblast, Katangskiy district; Northern)",nort3334,Northern Evenki,eve,Eurasia,,,Tungusic
Evenki_Tutonchany,"Tutonchany Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",ilim1234,Ilimpeya,,Eurasia,,,Tungusic
Hezhe,Hezhe,kile1243,Kilen,,Eurasia,47.585,132.48,Tungusic
Jurchen,Jurchen,jurc1239,Jurchen,juc,Eurasia,44.412626,126.866803,Tungusic
Kur_Urmi,Kur-Urmì,kuro1242,Kuro-Urmi,,Eurasia,,,Tungusic
Manchu,Manchu,manc1252,Manchu,mnc,Eurasia,47.31225,126.55713,Tungusic
Nanai_Bikin,Bikin Nanai,nana1257,Nanai,gld,Eurasia,48.43426,134.79726,Tungusic
Nanai_Najkhin,Najkhin Nanai,nana1257,Nanai,gld,Eurasia,48.43426,134.79726,Tungusic
Negidal,Negidal,negi1245,Negidal,neg,Eurasia,52.96584,139.20575,Tungusic
Oroch,Oroch,oroc1248,Oroch,oac,Eurasia,50.32354,137.85131,Tungusic
Orok,Orok,orok1265,Orok,oaa,Eurasia,49.36393,143.12819,Tungusic
Oroqen,Oroqen,oroq1238,Oroqen,orh,Eurasia,50.6319,125.017,Tungusic
Solon,Solon,solo1263,Solon,,Eurasia,48.166,119.4873,Tungusic
Udihe,Udihe,udih1248,Udihe,ude,Eurasia,46.63086,135.67762,Tungusic
Ulcha,Ulch,ulch1241,Ulch,ulc,Eurasia,51.85209,140.29045,Tungusic
Xibe,Xibe,xibe1242,Xibe,sjo,Eurasia,43.5854,81.0034,Tungusic
