ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Solon-1_firen-1,,Solon,1_firen,tͻɣ,tͻɣ,t ɔ ɣ,,Dorji1998;Oskolskaya2021,1_firen-1,false,^ t ͻ ɣ $,default
Udihe-1_firen-1,,Udihe,1_firen,thoː,thoː,tʰ oː,,Girfanova2001;Oskolskaya2021,1_firen-1,false,^ th oː $,default
Evenki_Strelka_Chun-1_firen-1,,Evenki_Strelka_Chun,1_firen,toγo,toγo,t o γ/ɣ o,,Andreeva2007;Oskolskaya2021,1_firen-1,false,^ t o γ o $,default
Evenki_Tutonchany-1_firen-1,,Evenki_Tutonchany,1_firen,toγo,toγo,t o γ/ɣ o,,Kombagir2008;Oskolskaya2021,1_firen-1,false,^ t o γ o $,default
Manchu-1_firen-1,,Manchu,1_firen,tuwa,tuwa,t u w a,,Norman1978;Oskolskaya2021,1_firen-1,false,^ t u w a $,default
Ulcha-1_firen-1,,Ulcha,1_firen,tawa,tawa,t a w a,,Sunik1985;Oskolskaya2021,1_firen-1,false,^ t a w a $,default
Oroqen-1_firen-1,,Oroqen,1_firen,tɔɣɔ,tɔɣɔ,t ɔ ɣ ɔ,,Hu1986;Oskolskaya2021,1_firen-1,false,^ t ɔ ɣ ɔ $,default
Even-1_firen-1,,Even,1_firen,toˁɣ,toˁɣ,t oˤ/o ʕ ɣ,,Novikova1980;Oskolskaya2021,1_firen-1,false,^ t oˁ ɣ $,default
Kur_Urmi-1_firen-1,,Kur_Urmi,1_firen,toː,toː,t oː,,Sunik1958;Oskolskaya2021,1_firen-1,false,^ t oː $,default
Oroch-1_firen-1,,Oroch,1_firen,tɔː,tɔː,t ɔː,,AvrorinLebedeva1978;Oskolskaya2021,1_firen-1,false,^ t ɔː $,default
Jurchen-1_firen-1,,Jurchen,1_firen,ta,ta,t a,,Kane1989;Oskolskaya2021,1_firen-1,false,^ t a $,default
Orok-1_firen-1,,Orok,1_firen,tɑwɑ,tɑwɑ,t ɑ w ɑ,,Ikegami1997;Oskolskaya2021,1_firen-1,false,^ t ɑ w ɑ $,default
Evenki_Teteya-1_firen-1,,Evenki_Teteya,1_firen,toγo,toγo,t o γ/ɣ o,,Kaplina2018;Oskolskaya2021,1_firen-1,false,^ t o γ o $,default
Hezhe-1_firen-1,,Hezhe,1_firen,tho ~ thua,tho,tʰ o,,An1986;Oskolskaya2021,1_firen-1,false,^ th o $,default
Hezhe-1_firen-2,,Hezhe,1_firen,tho ~ thua,thua,tʰ u/w a,,An1986;Oskolskaya2021,1_firen-1,false,^ th ua $,default
Nanai_Najkhin-1_firen-1,,Nanai_Najkhin,1_firen,tawa,tawa,t a w a,,Onenko1980;Oskolskaya2021,1_firen-1,false,^ t a w a $,default
Nanai_Bikin-1_firen-1,,Nanai_Bikin,1_firen,tao,tao,t ao,,Sem1976;Oskolskaya2021,1_firen-1,false,^ t ao $,default
Xibe-1_firen-1,,Xibe,1_firen,thuɑ,thuɑ,tʰ u ɑ,,Li1986;Oskolskaya2021,1_firen-1,false,^ th u ɑ $,default
Evenki_Khamnigan-1_firen-1,,Evenki_Khamnigan,1_firen,toɣo,toɣo,t o ɣ o,,Tsumagari1992;Oskolskaya2021,1_firen-1,false,^ t o ɣ o $,default
Evenki_Chiringda-1_firen-1,,Evenki_Chiringda,1_firen,toγo,toγo,t o γ/ɣ o,,Eldogir2007;Oskolskaya2021,1_firen-1,false,^ t o γ o $,default
Negidal-1_firen-1,,Negidal,1_firen,toɣʷo,toɣʷo,t o ɣʷ o,,Cincius1982;Oskolskaya2021,1_firen-1,false,^ t o ɣʷ o $,default
Evenki_StonyTunguska-1_firen-1,,Evenki_StonyTunguska,1_firen,towo,towo,t o w o,,Vasilevich1958;Oskolskaya2021,1_firen-1,false,^ t o w o $,default
Evenki_Strelka_Chun-2_nosen-1,,Evenki_Strelka_Chun,2_nosen,oŋokto,oŋokto,o ŋ o k t o,,Andreeva2007;Oskolskaya2021,2_nosen-2,false,^ o ŋ o k t o $,default
Evenki_Tutonchany-2_nosen-1,,Evenki_Tutonchany,2_nosen,oŋoktɒ,oŋoktɒ,o ŋ o k t ɒ,,Kombagir2008;Oskolskaya2021,2_nosen-2,false,^ o ŋ o k t ɒ $,default
Oroqen-2_nosen-1,,Oroqen,2_nosen,ɔŋɔktɔ,ɔŋɔktɔ,ɔ ŋ ɔ k t ɔ,,Hu1986;Oskolskaya2021,2_nosen-2,false,^ ɔ ŋ ɔ k t ɔ $,default
Even-2_nosen-1,,Even,2_nosen,oˁŋaˁt,oˁŋaˁt,oˤ/o ʕ ŋ aˤ/a ʕ t,,Novikova1980;Oskolskaya2021,2_nosen-2,false,^ oˁ ŋ aˁ t $,default
Evenki_Teteya-2_nosen-1,,Evenki_Teteya,2_nosen,oŋokto,oŋokto,o ŋ o k t o,,Kaplina2018;Oskolskaya2021,2_nosen-2,false,^ o ŋ o k t o $,default
Evenki_Khamnigan-2_nosen-1,,Evenki_Khamnigan,2_nosen,oŋokto,oŋokto,o ŋ o k t o,,Tsumagari1992;Oskolskaya2021,2_nosen-2,false,^ o ŋ o k t o $,default
Evenki_Chiringda-2_nosen-1,,Evenki_Chiringda,2_nosen,oŋoktɒ,oŋoktɒ,o ŋ o k t ɒ,,Eldogir2007;Oskolskaya2021,2_nosen-2,false,^ o ŋ o k t ɒ $,default
Negidal-2_nosen-1,,Negidal,2_nosen,oŋɣokto,oŋɣokto,o ŋ ɣ o k t o,,Cincius1982;Oskolskaya2021,2_nosen-2,false,^ o ŋ ɣ o k t o $,default
Evenki_StonyTunguska-2_nosen-1,,Evenki_StonyTunguska,2_nosen,oŋokto,oŋokto,o ŋ o k t o,,Vasilevich1958;Oskolskaya2021,2_nosen-2,false,^ o ŋ o k t o $,default
Manchu-2_nosen-1,,Manchu,2_nosen,oforo,oforo,o f o r o,,Norman1978;Oskolskaya2021,2_nosen-3,false,^ o f o r o $,default
Kur_Urmi-2_nosen-1,,Kur_Urmi,2_nosen,oforo,oforo,o f o r o,,Sunik1958;Oskolskaya2021,2_nosen-3,false,^ o f o r o $,default
Hezhe-2_nosen-1,,Hezhe,2_nosen,ɔfʋrə,ɔfʋrə,ɔ f ʋ r ə,,Zhangetal.1989;Oskolskaya2021,2_nosen-3,false,^ ɔ f ʋ r ə $,default
Nanai_Najkhin-2_nosen-1,,Nanai_Najkhin,2_nosen,opworwo,opworwo,o p w o r w o,,Onenko1980;Oskolskaya2021,2_nosen-3,false,^ o pw o rw o $,default
Nanai_Bikin-2_nosen-1,,Nanai_Bikin,2_nosen,oforo,oforo,o f o r o,,Sem1976;Oskolskaya2021,2_nosen-3,false,^ o f o r o $,default
Xibe-2_nosen-1,,Xibe,2_nosen,ovur,ovur,o v u r,,Li1986;Oskolskaya2021,2_nosen-3,false,^ o v u r $,default
Solon-2_nosen-1,,Solon,2_nosen,nɪːnsa,nɪːnsa,n ɪː n s a,,Dorji1998;Oskolskaya2021,2_nosen-4,false,^ n ɪː ns a $,default
Udihe-2_nosen-1,,Udihe,2_nosen,ŋø,ŋø,ŋ ø,,Girfanova2001;Oskolskaya2021,2_nosen-4,false,^ ŋ ø $,default
Ulcha-2_nosen-1,,Ulcha,2_nosen,waksa,waksa,w a k s a,,Sunik1985;Oskolskaya2021,2_nosen-4,false,^ w a ks a $,default
Oroch-2_nosen-1,,Oroch,2_nosen,ŋiksɔ,ŋiksɔ,ŋ i k s ɔ,,AvrorinLebedeva1978;Oskolskaya2021,2_nosen-4,false,^ ŋ i ks ɔ $,default
Jurchen-2_nosen-1,,Jurchen,2_nosen,suŋgi,suŋgi,s u ŋ g i,,Kane1989;Oskolskaya2021,2_nosen-5,false,^ s u ŋ g i $,default
Orok-2_nosen-1,,Orok,2_nosen,xuriɣɑ(n) ~ xurɛː,xuriɣɑ,x u r i ɣ ɑ,"neutral word for 'nose'; maybe, < 'mountain'",Ikegami1997;Oskolskaya2021,2_nosen-6,false,^ x u r i ɣ ɑ $,default
Orok-2_nosen-2,,Orok,2_nosen,xuriɣɑ(n) ~ xurɛː,xurɛː,x u r ɛː,"neutral word for 'nose'; maybe, < 'mountain'",Ikegami1997;Oskolskaya2021,2_nosen-6,false,^ x u r ɛː $,default
Solon-3_gov-1,,Solon,3_gov,nənə-,nənə-,n ə n ə,,Dorji1998;Oskolskaya2021,3_gov-7,false,^ n ə n ə -$,default
Udihe-3_gov-1,,Udihe,3_gov,ŋənə-,ŋənə-,ŋ ə n ə,,Girfanova2001;Oskolskaya2021,3_gov-7,false,^ ŋ ə n ə -$,default
Evenki_Strelka_Chun-3_gov-1,,Evenki_Strelka_Chun,3_gov,ŋənə-,ŋənə-,ŋ ə n ə,,Andreeva2007;Oskolskaya2021,3_gov-7,false,^ ŋ ə n ə -$,default
Evenki_Tutonchany-3_gov-1,,Evenki_Tutonchany,3_gov,ŋənə-,ŋənə-,ŋ ə n ə,,Kombagir2008;Oskolskaya2021,3_gov-7,false,^ ŋ ə n ə -$,default
Manchu-3_gov-1,,Manchu,3_gov,gənə-,gənə-,g ə n ə,,Norman1978;Oskolskaya2021,3_gov-7,false,^ g ə n ə -$,default
Ulcha-3_gov-1,,Ulcha,3_gov,ŋənə-,ŋənə-,ŋ ə n ə,,Sunik1985;Oskolskaya2021,3_gov-7,false,^ ŋ ə n ə -$,default
Oroqen-3_gov-1,,Oroqen,3_gov,ŋənə-,ŋənə-,ŋ ə n ə,,Hu1986;Oskolskaya2021,3_gov-7,false,^ ŋ ə n ə -$,default
Even-3_gov-1,,Even,3_gov,ŋen-,ŋen-,ŋ e n,,Novikova1980;Oskolskaya2021,3_gov-7,false,^ ŋ e n -$,default
Kur_Urmi-3_gov-1,,Kur_Urmi,3_gov,ənə-,ənə-,ə n ə,,Sunik1958;Oskolskaya2021,3_gov-7,false,^ ə n ə -$,default
Oroch-3_gov-1,,Oroch,3_gov,ŋənə-,ŋənə-,ŋ ə n ə,,AvrorinLebedeva1978;Oskolskaya2021,3_gov-7,false,^ ŋ ə n ə -$,default
Jurchen-3_gov-1,,Jurchen,3_gov,gəniə,gəniə,g ə n i/j ə,,Kane1989;Oskolskaya2021,3_gov-7,false,^ g ə n iə $,default
Orok-3_gov-1,,Orok,3_gov,ŋənə-,ŋənə-,ŋ ə n ə,,Ikegami1997;Oskolskaya2021,3_gov-7,false,^ ŋ ə n ə -$,default
Evenki_Teteya-3_gov-1,,Evenki_Teteya,3_gov,ŋənə-,ŋənə-,ŋ ə n ə,,Kaplina2018;Oskolskaya2021,3_gov-7,false,^ ŋ ə n ə -$,default
Hezhe-3_gov-1,,Hezhe,3_gov,ɜnə-,ɜnə-,ɜ n ə,,Zhangetal.1989;Oskolskaya2021,3_gov-7,false,^ ɜ n ə -$,default
Nanai_Najkhin-3_gov-1,,Nanai_Najkhin,3_gov,ənə-,ənə-,ə n ə,,Onenko1980;Oskolskaya2021,3_gov-7,false,^ ə n ə -$,default
Nanai_Bikin-3_gov-1,,Nanai_Bikin,3_gov,ənə-,ənə-,ə n ə,,Sem1976;Oskolskaya2021,3_gov-7,false,^ ə n ə -$,default
Xibe-3_gov-1,,Xibe,3_gov,gɘnɘ-,gɘnɘ-,g ɘ n ɘ,,Li1986;Oskolskaya2021,3_gov-7,false,^ g ɘ n ɘ -$,default
Evenki_Khamnigan-3_gov-1,,Evenki_Khamnigan,3_gov,nənə-,nənə-,n ə n ə,,Tsumagari1992;Oskolskaya2021,3_gov-7,false,^ n ə n ə -$,default
Evenki_Chiringda-3_gov-1,,Evenki_Chiringda,3_gov,ŋənə-,ŋənə-,ŋ ə n ə,,Eldogir2007;Oskolskaya2021,3_gov-7,false,^ ŋ ə n ə -$,default
Negidal-3_gov-1,,Negidal,3_gov,ŋənə-,ŋənə-,ŋ ə n ə,,Cincius1982;Oskolskaya2021,3_gov-7,false,^ ŋ ə n ə -$,default
Evenki_StonyTunguska-3_gov-1,,Evenki_StonyTunguska,3_gov,gənə- ~ mənə-,gənə-,g ə n ə,,Vasilevich1958;Oskolskaya2021,3_gov-7,false,^ g ə n ə -$,default
Evenki_StonyTunguska-3_gov-2,,Evenki_StonyTunguska,3_gov,gənə- ~ mənə-,mənə-,m ə n ə,,Vasilevich1958;Oskolskaya2021,3_gov-7,false,^ m ə n ə -$,default
Solon-4_watern-1,,Solon,4_watern,mu,mu,m u,,Dorji1998;Oskolskaya2021,4_watern-8,false,^ m u $,default
Evenki_Strelka_Chun-4_watern-1,,Evenki_Strelka_Chun,4_watern,mu,mu,m u,,Andreeva2007;Oskolskaya2021,4_watern-8,false,^ m u $,default
Evenki_Tutonchany-4_watern-1,,Evenki_Tutonchany,4_watern,muː,muː,m uː,,Kombagir2008;Oskolskaya2021,4_watern-8,false,^ m uː $,default
Manchu-4_watern-1,,Manchu,4_watern,mukə,mukə,m u k ə,,Norman1978;Oskolskaya2021,4_watern-8,false,^ m u k ə $,default
Ulcha-4_watern-1,,Ulcha,4_watern,muː,muː,m uː,,Sunik1985;Oskolskaya2021,4_watern-8,false,^ m uː $,default
Oroqen-4_watern-1,,Oroqen,4_watern,muː,muː,m uː,,Hu1986;Oskolskaya2021,4_watern-8,false,^ m uː $,default
Even-4_watern-1,,Even,4_watern,mo,mo,m o,,Novikova1980;Oskolskaya2021,4_watern-8,false,^ m o $,default
Kur_Urmi-4_watern-1,,Kur_Urmi,4_watern,mukə,mukə,m u k ə,,Sunik1958;Oskolskaya2021,4_watern-8,false,^ m u k ə $,default
Oroch-4_watern-1,,Oroch,4_watern,muː,muː,m uː,,AvrorinLebedeva1978;Oskolskaya2021,4_watern-8,false,^ m uː $,default
Jurchen-4_watern-1,,Jurchen,4_watern,mukə,mukə,m u k ə,,Kane1989;Oskolskaya2021,4_watern-8,false,^ m u k ə $,default
Orok-4_watern-1,,Orok,4_watern,mɵː ~ muː,mɵː,m ɵː,,Ikegami1997;Oskolskaya2021,4_watern-8,false,^ m ɵː $,default
Orok-4_watern-2,,Orok,4_watern,mɵː ~ muː,muː,m uː,,Ikegami1997;Oskolskaya2021,4_watern-8,false,^ m uː $,default
Evenki_Teteya-4_watern-1,,Evenki_Teteya,4_watern,muː,muː,m uː,,Kaplina2018;Oskolskaya2021,4_watern-8,false,^ m uː $,default
Hezhe-4_watern-1,,Hezhe,4_watern,mukhə,mukhə,m u kʰ ə,,Zhangetal.1989;Oskolskaya2021,4_watern-8,false,^ m u kh ə $,default
Nanai_Najkhin-4_watern-1,,Nanai_Najkhin,4_watern,mwuə,mwuə,m w u/w ə,,Onenko1980;Oskolskaya2021,4_watern-8,false,^ mw uə $,default
Nanai_Bikin-4_watern-1,,Nanai_Bikin,4_watern,mukə,mukə,m u k ə,,Sem1976;Oskolskaya2021,4_watern-8,false,^ m u k ə $,default
Xibe-4_watern-1,,Xibe,4_watern,mukhu,mukhu,m u kʰ u,,Li1986;Oskolskaya2021,4_watern-8,false,^ m u kh u $,default
