Grapheme	IPA	Examples	Languages	Frequence	Codepoints
j	j	ijə, sji_	Manchu, Nanai_Bikin, Udihe, Kur_Urmi, Oroch, Negidal, Nanai_Najkhin, Ulcha, Hezhe, Evenki_Khamnigan, Orok, Evenki_Tutonchany, Evenki_StonyTunguska, Evenki_Chiringda, Xibe, Evenki_Teteya, Even, Evenki_Strelka_Chun	100	U+006a
i$	i	əri, ili-	Udihe, Oroch, Jurchen, Orok, Hezhe, Nanai_Bikin, Xibe, Manchu, Negidal, Evenki_Khamnigan, Solon, Ulcha, Oroqen, Evenki_Tutonchany, Evenki_Chiringda, Nanai_Najkhin, Kur_Urmi, Even, Evenki_Teteya, Evenki_Strelka_Chun	100	U+0069 U+0024
r	r	əri, gərbiː	Orok, Evenki_Tutonchany, Even, Nanai_Bikin, Xibe, Manchu, Evenki_Chiringda, Jurchen, Oroqen, Evenki_Strelka_Chun, Evenki_Teteya, Kur_Urmi, Evenki_Khamnigan, Evenki_StonyTunguska, Hezhe, Solon, Nanai_Najkhin, Ulcha, Negidal	100	U+0072
k	k	iktə, oŋokto	Evenki_Chiringda, Evenki_StonyTunguska, Evenki_Strelka_Chun, Evenki_Tutonchany, Evenki_Teteya, Evenki_Khamnigan, Kur_Urmi, Nanai_Bikin, Negidal, Oroqen, Udihe, Even, Nanai_Najkhin, Oroch, Orok, Hezhe, Jurchen, Manchu, Solon	100	U+006b
m	m	əmə-, amŋa	Evenki_Khamnigan, Evenki_Chiringda, Hezhe, Evenki_StonyTunguska, Kur_Urmi, Oroqen, Udihe, Evenki_Strelka_Chun, Evenki_Tutonchany, Evenki_Teteya, Nanai_Bikin, Negidal, Jurchen, Oroch, Manchu, Ulcha, Even, Nanai_Najkhin, Xibe, Solon, Orok	100	U+006d
t	t	iktə, oŋokto	Kur_Urmi, Evenki_Tutonchany, Evenki_Chiringda, Ulcha, Oroch, Evenki_StonyTunguska, Negidal, Evenki_Teteya, Orok, Evenki_Khamnigan, Evenki_Strelka_Chun, Nanai_Najkhin, Nanai_Bikin, Oroqen, Udihe, Even, Manchu, Jurchen, Xibe	100	U+0074
d	d	uldə, tigdə	Evenki_Tutonchany, Evenki_Chiringda, Evenki_Khamnigan, Orok, Evenki_StonyTunguska, Oroch, Ulcha, Negidal, Oroqen, Udihe, Evenki_Strelka_Chun, Solon, Nanai_Bikin, Hezhe, Even, Evenki_Teteya, Kur_Urmi, Nanai_Najkhin, Jurchen, Manchu, Xibe	100	U+0064
n	n	ŋənə-, koŋnomo	Oroqen, Orok, Kur_Urmi, Evenki_Tutonchany, Hezhe, Evenki_Khamnigan, Evenki_Chiringda, Evenki_StonyTunguska, Udihe, Evenki_Strelka_Chun, Solon, Jurchen, Evenki_Teteya, Xibe, Manchu, Ulcha, Even, Negidal, Nanai_Najkhin, Nanai_Bikin, Oroch	100	U+006e
o	o	dolbo, goroloː	Negidal, Evenki_Strelka_Chun, Evenki_Chiringda, Evenki_Tutonchany, Evenki_StonyTunguska, Nanai_Najkhin, Kur_Urmi, Nanai_Bikin, Ulcha, Manchu, Evenki_Teteya, Evenki_Khamnigan, Jurchen, Udihe, Xibe, Hezhe, Oroch, Solon	100	U+006f
ŋ	ŋ	amŋa, nuŋan	Even, Negidal, Jurchen, Oroqen, Kur_Urmi, Evenki_Strelka_Chun, Evenki_Tutonchany, Evenki_StonyTunguska, Evenki_Teteya, Udihe, Oroch, Manchu, Evenki_Chiringda, Orok, Evenki_Khamnigan, Solon, Ulcha, Nanai_Bikin, Hezhe, Nanai_Najkhin, Xibe	100	U+014b
^t	t	toγo, tigdə	Ulcha, Even, Evenki_Chiringda, Negidal, Oroqen, Oroch, Orok, Evenki_Tutonchany, Evenki_StonyTunguska, Nanai_Bikin, Hezhe, Manchu, Nanai_Najkhin, Evenki_Teteya, Kur_Urmi, Evenki_Khamnigan, Solon, Jurchen, Udihe, Evenki_Strelka_Chun	100	U+005e U+0074
g	g	ʤəgdə-, tigdə	Jurchen, Udihe, Manchu, Evenki_Chiringda, Ulcha, Oroqen, Negidal, Nanai_Bikin, Oroch, Evenki_Khamnigan, Evenki_Tutonchany, Even, Kur_Urmi, Orok, Nanai_Najkhin, Evenki_Teteya, Evenki_Strelka_Chun, Solon, Xibe	100	U+0067
^d	d	dolbo, darama	Orok, Manchu, Negidal, Jurchen, Nanai_Bikin, Even, Evenki_Tutonchany, Evenki_Chiringda, Ulcha, Kur_Urmi, Udihe, Oroqen, Oroch, Xibe, Solon, Evenki_StonyTunguska, Nanai_Najkhin, Evenki_Teteya, Evenki_Khamnigan, Evenki_Strelka_Chun	100	U+005e U+0064
^b	b	buː-, bəjə	Ulcha, Even, Jurchen, Evenki_Strelka_Chun, Manchu, Udihe, Xibe, Evenki_Tutonchany, Evenki_StonyTunguska, Negidal, Kur_Urmi, Nanai_Bikin, Evenki_Chiringda, Evenki_Teteya, Oroch, Orok, Evenki_Khamnigan, Solon, Oroqen, Nanai_Najkhin	100	U+005e U+0062
u$	u	uku-, bu-	Jurchen, Manchu, Ulcha, Orok, Xibe, Hezhe, Evenki_Chiringda, Nanai_Najkhin, Kur_Urmi, Oroch, Nanai_Bikin, Evenki_Strelka_Chun, Solon, Evenki_Tutonchany, Evenki_Teteya, Evenki_Khamnigan, Even, Evenki_StonyTunguska, Udihe	100	U+0075 U+0024
^i	i	iktə, ijə	Evenki_Chiringda, Evenki_Strelka_Chun, Oroch, Evenki_Tutonchany, Jurchen, Evenki_Teteya, Udihe, Hezhe, Oroqen, Orok, Evenki_Khamnigan, Negidal, Kur_Urmi, Xibe, Manchu, Ulcha, Even, Nanai_Bikin, Solon, Evenki_StonyTunguska, Nanai_Najkhin	100	U+005e U+0069
^s	s	saː-, səːksə	Ulcha, Nanai_Bikin, Nanai_Najkhin, Oroch, Kur_Urmi, Manchu, Udihe, Evenki_StonyTunguska, Jurchen, Negidal, Xibe, Hezhe, Evenki_Khamnigan, Evenki_Strelka_Chun, Orok, Solon, Evenki_Tutonchany	100	U+005e U+0073
o$	o	dolbo, oŋokto	Ulcha, Evenki_Teteya, Nanai_Bikin, Evenki_StonyTunguska, Evenki_Khamnigan, Kur_Urmi, Evenki_Tutonchany, Negidal, Nanai_Najkhin, Jurchen, Xibe, Evenki_Strelka_Chun, Udihe, Evenki_Chiringda, Hezhe, Manchu, Oroch, Even	100	U+006f U+0024
^m	m	moː, muː	Hezhe, Orok, Kur_Urmi, Nanai_Bikin, Manchu, Xibe, Ulcha, Evenki_Tutonchany, Even, Evenki_StonyTunguska, Negidal, Jurchen, Oroqen, Oroch, Evenki_Strelka_Chun, Solon, Udihe, Evenki_Chiringda, Evenki_Teteya, Evenki_Khamnigan, Nanai_Najkhin	100	U+005e U+006d
s	s	χasar, jasa	Nanai_Bikin, Oroch, Kur_Urmi, Nanai_Najkhin, Ulcha, Manchu, Even, Xibe, Evenki_StonyTunguska, Negidal, Jurchen, Orok, Evenki_Strelka_Chun, Udihe, Evenki_Chiringda, Evenki_Khamnigan, Solon, Hezhe	100	U+0073
^n	n	naː, nuŋan	Solon, Kur_Urmi, Evenki_Khamnigan, Oroqen, Evenki_StonyTunguska, Negidal, Hezhe, Ulcha, Even, Nanai_Najkhin, Jurchen, Nanai_Bikin, Udihe, Orok, Xibe, Evenki_Chiringda, Oroch, Manchu, Evenki_Tutonchany, Evenki_Teteya, Evenki_Strelka_Chun	100	U+005e U+006e
^u	u	ulə, umukta	Evenki_Strelka_Chun, Evenki_Tutonchany, Evenki_Chiringda, Evenki_Teteya, Xibe, Solon, Even, Udihe, Oroqen, Oroch, Manchu, Negidal, Nanai_Najkhin, Jurchen, Kur_Urmi, Orok, Ulcha, Nanai_Bikin, Evenki_Khamnigan, Evenki_StonyTunguska, Hezhe	100	U+005e U+0075
e	e	ħenŋen, etergen	Even, Oroqen, Nanai_Bikin, Nanai_Najkhin, Negidal, Ulcha, Kur_Urmi, Evenki_Strelka_Chun, Evenki_StonyTunguska, Evenki_Teteya	100	U+0065
^g	g	ga-, gun-	Evenki_StonyTunguska, Ulcha, Negidal, Udihe, Solon, Jurchen, Oroqen, Oroch, Evenki_Tutonchany, Evenki_Chiringda, Even, Evenki_Teteya, Evenki_Strelka_Chun, Xibe, Evenki_Khamnigan, Nanai_Bikin, Orok, Manchu, Nanai_Najkhin, Kur_Urmi	100	U+005e U+0067
^a	a	aja, amŋa	Evenki_StonyTunguska, Negidal, Jurchen, Manchu, Kur_Urmi, Oroqen, Evenki_Strelka_Chun, Solon, Evenki_Tutonchany, Ulcha, Evenki_Teteya, Nanai_Bikin, Udihe, Oroch, Evenki_Chiringda, Nanai_Najkhin, Hezhe, Evenki_Khamnigan, Orok	100	U+005e U+0061
x	x	wəixə, təxə	Jurchen, Xibe, Manchu, Negidal, Solon, Oroqen, Hezhe, Ulcha, Oroch, Orok, Udihe, Evenki_Tutonchany, Nanai_Najkhin, Nanai_Bikin	100	U+0078
^ə	ə	əmə-, ədin-	Oroqen, Solon, Kur_Urmi, Evenki_StonyTunguska, Evenki_Tutonchany, Evenki_Chiringda, Negidal, Evenki_Strelka_Chun, Manchu, Udihe, Jurchen, Oroch, Evenki_Teteya, Evenki_Khamnigan, Nanai_Najkhin, Nanai_Bikin, Ulcha, Orok	100	U+005e U+0259
^x	x	xədun-, xədu	Ulcha, Orok, Negidal, Nanai_Bikin, Udihe, Oroch, Hezhe, Solon, Jurchen, Xibe, Manchu, Evenki_Tutonchany, Nanai_Najkhin, Kur_Urmi, Evenki_Teteya	100	U+005e U+0078
b	b	dolbo, gərbiː	Oroqen, Even, Kur_Urmi, Udihe, Manchu, Ulcha, Nanai_Najkhin, Evenki_Tutonchany, Evenki_Khamnigan, Evenki_Chiringda, Jurchen, Evenki_Teteya, Nanai_Bikin, Evenki_Strelka_Chun, Evenki_StonyTunguska, Negidal, Orok, Solon, Xibe, Oroch, Hezhe	100	U+0062
^ʤ	dʒ	ʤawa-, ʤəgdə-	Kur_Urmi, Oroqen, Manchu, Ulcha, Oroch, Evenki_StonyTunguska, Negidal, Nanai_Najkhin, Even, Solon, Jurchen, Orok, Udihe	100	U+005e U+02a4
ʧ	tʃ	iʧə-, anʧan	Ulcha, Nanai_Najkhin, Even, Manchu, Oroqen, Evenki_StonyTunguska, Jurchen, Kur_Urmi, Nanai_Bikin, Negidal, Oroch, Orok, Hezhe, Evenki_Tutonchany	100	U+02a7
p	p	ʤapa-, ďapka	Orok, Nanai_Najkhin, Evenki_StonyTunguska, Ulcha, Evenki_Tutonchany, Evenki_Chiringda, Evenki_Strelka_Chun, Negidal, Oroch, Hezhe, Evenki_Teteya, Evenki_Khamnigan, Udihe, Oroqen, Kur_Urmi, Jurchen, Even, Solon	100	U+0070
^h	h	haŋɲan, hərə	Evenki_Chiringda, Evenki_Tutonchany, Evenki_Teteya, Evenki_Strelka_Chun, Evenki_StonyTunguska, Evenki_Khamnigan	100	U+005e U+0068
iː$	iː	gərbiː, niː	Evenki_Strelka_Chun, Evenki_Tutonchany, Evenki_Khamnigan, Evenki_Chiringda, Negidal, Evenki_StonyTunguska, Nanai_Najkhin, Evenki_Teteya, Udihe, Nanai_Bikin, Solon, Oroqen, Oroch, Ulcha, Even, Kur_Urmi	100	U+0069 U+02d0 U+0024
e$	e	dele, irge	Even, Ulcha, Nanai_Bikin, Oroqen, Nanai_Najkhin, Solon, Evenki_Tutonchany, Negidal, Kur_Urmi, Evenki_Strelka_Chun	100	U+0065 U+0024
q	q	χwosaqta, χosaqta	Ulcha, Kur_Urmi, Even, Nanai_Bikin, Orok, Nanai_Najkhin, Oroch, Xibe, Manchu, Hezhe	100	U+0071
^k	k	kətə, kolto-	Oroqen, Hezhe, Even, Evenki_StonyTunguska, Evenki_Chiringda, Evenki_Teteya, Evenki_Strelka_Chun, Udihe, Evenki_Tutonchany, Evenki_Khamnigan, Orok, Negidal, Kur_Urmi, Ulcha, Oroch, Nanai_Bikin, Nanai_Najkhin, Jurchen	100	U+005e U+006b
ɣ	ɣ	təɣə-, diɣin	Evenki_StonyTunguska, Evenki_Khamnigan, Solon, Negidal, Xibe, Udihe, Even, Oroqen, Orok, Evenki_Tutonchany	100	U+0263
^o	o	oŋokto, ohikta	Kur_Urmi, Evenki_Chiringda, Evenki_StonyTunguska, Negidal, Evenki_Tutonchany, Nanai_Bikin, Evenki_Strelka_Chun, Manchu, Xibe, Evenki_Khamnigan, Evenki_Teteya, Ulcha, Udihe, Nanai_Najkhin, Even, Jurchen, Solon, Oroqen, Oroch	100	U+005e U+006f
^ɲ	ɲ	ɲama, ɲamapt͡ʃu	Even, Ulcha, Evenki_Strelka_Chun, Oroch, Evenki_Tutonchany, Evenki_StonyTunguska, Negidal, Evenki_Khamnigan, Nanai_Bikin, Evenki_Chiringda, Evenki_Teteya, Kur_Urmi, Oroqen, Nanai_Najkhin, Hezhe, Udihe, Xibe	100	U+005e U+0272
ɲ	ɲ	iɲəktə-, haŋɲan	Oroch, Evenki_Tutonchany, Ulcha, Negidal, Evenki_Teteya, Evenki_Strelka_Chun, Even, Nanai_Bikin, Evenki_Chiringda, Kur_Urmi, Evenki_Khamnigan, Udihe, Evenki_StonyTunguska, Nanai_Najkhin, Oroqen, Hezhe	100	U+0272
aː	aː	taːn-, ŋaːlə	Oroch, Nanai_Najkhin, Nanai_Bikin, Evenki_Tutonchany, Ulcha, Oroqen, Negidal, Evenki_Chiringda, Evenki_Khamnigan, Evenki_StonyTunguska, Evenki_Teteya, Kur_Urmi, Solon, Udihe, Evenki_Strelka_Chun	100	U+0061 U+02d0
w	w	ʤawa-, əwiː-	Ulcha, Evenki_StonyTunguska, Oroch, Even, Manchu, Evenki_Tutonchany, Negidal, Evenki_Strelka_Chun, Nanai_Najkhin, Orok, Oroqen, Evenki_Chiringda, Solon, Udihe, Hezhe, Evenki_Teteya, Evenki_Khamnigan, Nanai_Bikin	100	U+0077
ɑ	ɑ	dɑrɑmɑ, xɑɣɘ_nɑn	Xibe, Orok, Hezhe	100	U+0251
uː	uː	buː_, nəmkuːn	Evenki_Tutonchany, Orok, Manchu, Negidal, Evenki_Teteya, Evenki_Strelka_Chun, Evenki_Chiringda, Evenki_Khamnigan, Nanai_Najkhin, Ulcha, Oroqen, Evenki_StonyTunguska, Even, Nanai_Bikin, Solon, Udihe, Oroch, Kur_Urmi	100	U+0075 U+02d0
ɔ	ɔ	ʤɔlɔ-dɔ-, ʤɔlɔ	Orok, Oroch, Oroqen, Hezhe, Udihe	95	U+0254
ʤ	dʒ	təʤə, uʤu	Ulcha, Manchu, Nanai_Najkhin, Oroch, Kur_Urmi, Orok, Jurchen, Solon, Oroqen, Negidal, Even, Udihe, Evenki_StonyTunguska	95	U+02a4
^f	f	fətə-, fərə	Manchu, Xibe, Nanai_Bikin, Jurchen, Kur_Urmi, Hezhe	93	U+005e U+0066
aː$	aː	waː-, saː-	Evenki_Strelka_Chun, Oroch, Evenki_Chiringda, Evenki_Khamnigan, Evenki_Tutonchany, Negidal, Nanai_Najkhin, Ulcha, Evenki_Teteya, Oroqen, Udihe, Evenki_StonyTunguska, Nanai_Bikin, Kur_Urmi, Solon	91	U+0061 U+02d0 U+0024
^ŋ	ŋ	ŋənə-, ŋaːlə	Udihe, Even, Orok, Evenki_StonyTunguska, Oroch, Evenki_Tutonchany, Ulcha, Oroqen, Negidal, Evenki_Teteya, Evenki_Strelka_Chun, Evenki_Chiringda, Kur_Urmi, Nanai_Najkhin	89	U+005e U+014b
aˁ	aˤ	baˁldaˁ-waˁʧ-, ɲaˁŋsaˁmnaˁn	Even	87	U+0061 U+02c1
uː$	uː	buː-, muː	Evenki_Tutonchany, Evenki_Chiringda, Evenki_Khamnigan, Ulcha, Negidal, Oroqen, Evenki_Teteya, Evenki_Strelka_Chun, Udihe, Evenki_StonyTunguska, Oroch, Orok, Nanai_Najkhin, Kur_Urmi, Manchu, Nanai_Bikin, Even, Solon	86	U+0075 U+02d0 U+0024
ŋ$	ŋ	taŋ-, laŋ	Solon, Xibe, Even, Hezhe, Evenki_StonyTunguska, Negidal, Ulcha, Oroqen, Udihe, Evenki_Chiringda, Kur_Urmi, Nanai_Bikin, Orok	85	U+014b U+0024
^χ	χ	χɔsjikta, χosaqta	Nanai_Bikin, Orok, Oroch, Kur_Urmi, Ulcha, Nanai_Najkhin, Manchu, Hezhe	80	U+005e U+03c7
_$	_	sji_, bji_	Kur_Urmi, Solon, Udihe, Ulcha, Xibe, Oroqen, Evenki_StonyTunguska, Negidal, Nanai_Najkhin, Nanai_Bikin, Orok, Oroch, Even, Hezhe, Manchu, Jurchen	79	U+005f U+0024
^ʧ	tʃ	ʧiktə, ʧaːgʤa	Even, Nanai_Najkhin, Ulcha, Orok, Evenki_StonyTunguska, Oroch, Kur_Urmi, Oroqen, Negidal, Hezhe, Manchu, Nanai_Bikin	78	U+005e U+02a7
^ʃ	ʃ	ʃaŋgjijan, ʃiː_	Orok, Oroqen, Jurchen, Solon, Manchu, Evenki_Khamnigan	76	U+005e U+0283
iː	iː	miːrə, biː_	Evenki_Tutonchany, Negidal, Solon, Even, Evenki_Khamnigan, Orok, Evenki_StonyTunguska, Evenki_Strelka_Chun, Oroqen, Evenki_Chiringda, Oroch, Ulcha, Evenki_Teteya, Udihe, Nanai_Najkhin	76	U+0069 U+02d0
ɨ	ɨ	nuŋartɨn, tɨrgaɲiː	Evenki_StonyTunguska, Evenki_Strelka_Chun, Evenki_Teteya, Evenki_Chiringda, Evenki_Tutonchany	76	U+0268
ʊ	ʊ	ʧʊŋŋʊrʊ, ʊmʊkta	Oroqen, Solon, Evenki_Khamnigan, Hezhe, Kur_Urmi	76	U+028a
r$	r	ir-, əmər	Even, Solon, Evenki_StonyTunguska, Oroqen, Evenki_Chiringda, Evenki_Khamnigan, Evenki_Strelka_Chun, Evenki_Tutonchany, Xibe, Evenki_Teteya, Nanai_Najkhin, Kur_Urmi, Hezhe	75	U+0072 U+0024
ɪ	ɪ	gɪʧɪ-gɪ-lɪ-, afjɪna-	Solon, Kur_Urmi, Evenki_Khamnigan	74	U+026a
ɑ$	ɑ	dɑpɑ-, χɔʃiktɑ	Orok, Xibe, Hezhe	73	U+0251 U+0024
oː	oː	moːl, doːldɨ-	Evenki_Tutonchany, Even, Evenki_Chiringda, Evenki_Strelka_Chun, Evenki_StonyTunguska, Nanai_Najkhin, Negidal, Evenki_Khamnigan, Evenki_Teteya, Ulcha, Nanai_Bikin, Udihe, Oroch, Kur_Urmi, Solon	69	U+006f U+02d0
l$	l	moːl, dɨl	Even, Solon, Ulcha, Negidal, Xibe, Evenki_Teteya, Orok, Oroqen, Evenki_Chiringda, Nanai_Najkhin, Evenki_Tutonchany, Evenki_StonyTunguska, Kur_Urmi, Evenki_Strelka_Chun, Evenki_Khamnigan	65	U+006c U+0024
oː$	oː	moː, mwoː	Nanai_Bikin, Udihe, Evenki_Tutonchany, Negidal, Evenki_Khamnigan, Kur_Urmi, Nanai_Najkhin, Manchu, Ulcha, Evenki_StonyTunguska, Evenki_Strelka_Chun, Evenki_Chiringda, Oroch, Evenki_Teteya, Even	64	U+006f U+02d0 U+0024
^p	p	paː, pəːjə	Orok, Ulcha, Hezhe, Nanai_Najkhin, Udihe, Oroch, Even	63	U+005e U+0070
ɪ$	ɪ	baldɪ-, taŋɪ-	Kur_Urmi, Solon, Evenki_Khamnigan	61	U+026a U+0024
ks	ks	səːksə, tamnaksa	Evenki_StonyTunguska, Negidal, Nanai_Najkhin, Evenki_Khamnigan, Nanai_Bikin, Ulcha, Oroch, Kur_Urmi, Orok, Manchu, Evenki_Chiringda, Xibe	60	U+006b U+0073
^e	e	enda, elan	Even, Kur_Urmi, Nanai_Bikin, Oroqen, Ulcha, Nanai_Najkhin, Negidal, Evenki_StonyTunguska, Evenki_Strelka_Chun	58	U+005e U+0065
ɔ$	ɔ	ʤɔlɔ, dɔ	Orok, Oroch, Oroqen, Udihe	56	U+0254 U+0024
t$	t	tət-, mut	Even, Evenki_StonyTunguska, Negidal, Evenki_Tutonchany, Solon, Evenki_Chiringda, Evenki_Strelka_Chun, Oroqen, Evenki_Teteya, Orok	56	U+0074 U+0024
ɘ	ɘ	tʂhɘksɘnɘŋ, xɘlmɘn	Xibe	56	U+0258
əː	əː	səːksə, gələːktə-	Nanai_Najkhin, Evenki_Khamnigan, Evenki_StonyTunguska, Orok, Solon, Ulcha, Oroch, Nanai_Bikin, Kur_Urmi, Evenki_Chiringda	56	U+0259 U+02d0
.	<?>	da.ʋi.ra.xa, ə.ni.nə	Orok, Nanai_Najkhin, Kur_Urmi	55	U+002e
^th	tʰ	thɑndɘ-, thadu	Hezhe, Xibe, Udihe	53	U+005e U+0074 U+0068
χ	χ	qwoaχ-qwoaχ_biː, emaχa	Manchu, Nanai_Bikin, Hezhe, Nanai_Najkhin, Kur_Urmi, Orok	53	U+03c7
f	f	oforo, afjɪna-	Nanai_Bikin, Hezhe, Kur_Urmi, Manchu, Udihe, Jurchen, Xibe	52	U+0066
_	_	bwoɴal-bwoɴal_biː, tiː_timjæ-ɲi	Ulcha, Xibe, Nanai_Bikin, Nanai_Najkhin, Kur_Urmi, Evenki_Khamnigan, Manchu, Oroqen, Oroch, Udihe, Hezhe, Orok	51	U+005f
kh	kʰ	ɲiaŋkhi, ikhthə-khən	Hezhe, Xibe	49	U+006b U+0068
m$	m	um-, ďalum	Negidal, Even, Evenki_StonyTunguska, Oroqen, Evenki_Tutonchany, Evenki_Strelka_Chun, Solon, Evenki_Chiringda, Xibe, Orok, Udihe, Nanai_Najkhin, Evenki_Teteya, Nanai_Bikin	49	U+006d U+0024
^w	w	waː-, wəixə	Udihe, Manchu, Ulcha, Nanai_Bikin, Nanai_Najkhin, Jurchen, Oroqen, Evenki_Chiringda, Evenki_Tutonchany, Negidal, Oroch, Hezhe, Evenki_Teteya, Evenki_Khamnigan, Evenki_Strelka_Chun, Orok, Solon	46	U+005e U+0077
ʃ	ʃ	iʃi-, χɔʃiktɑ	Solon, Orok, Jurchen, Evenki_Khamnigan, Manchu, Oroqen, Evenki_Teteya	44	U+0283
ɢ	ɢ	soŋɢo-, aŋɢo-	Nanai_Bikin, Manchu, Kur_Urmi, Nanai_Najkhin, Xibe, Orok	42	U+0262
^ħ	ħ	ħiˁːndaˁ-, ħukle-	Even	42	U+005e U+0127
aˁ$	aˤ	oˁstaˁ, uˁrtaˁ	Even	41	U+0061 U+02c1 U+0024
th	tʰ	nixthənə-, ikhthələ	Hezhe, Xibe	41	U+0074 U+0068
^ʣ	dz	ʣolo, ʣəgdə-	Udihe, Nanai_Bikin, Evenki_Khamnigan	40	U+005e U+02a3
^ď	<?>	ďapka, ďiktə	Evenki_Strelka_Chun, Evenki_Tutonchany, Evenki_Chiringda, Evenki_Teteya	40	U+005e U+010f
ɘ$	ɘ	thɑndɘ-, sɑvɘ-	Xibe	39	U+0258 U+0024
^l	l	laŋ-laŋ, laŋ	Nanai_Bikin, Ulcha, Negidal, Xibe, Kur_Urmi, Solon, Oroqen, Udihe, Evenki_StonyTunguska, Evenki_Teteya, Manchu, Evenki_Tutonchany, Evenki_Chiringda, Nanai_Najkhin, Jurchen, Hezhe, Evenki_Strelka_Chun, Orok	39	U+005e U+006c
eː	eː	beːγa, beːga	Even, Evenki_Strelka_Chun, Oroqen, Evenki_Tutonchany, Evenki_StonyTunguska, Evenki_Chiringda, Ulcha, Evenki_Teteya, Evenki_Khamnigan	38	U+0065 U+02d0
^j	j	jasa, jɑ-	Xibe, Udihe, Manchu, Oroch, Oroqen, Ulcha, Jurchen, Hezhe, Nanai_Bikin, Orok, Evenki_StonyTunguska, Evenki_Teteya, Kur_Urmi, Solon	38	U+005e U+006a
^ɢ	ɢ	ɢoro, ɢorfɪna-	Kur_Urmi, Manchu, Nanai_Bikin, Orok, Xibe, Nanai_Najkhin	36	U+005e U+0262
γ	<?>	beːγa, dɨγin	Evenki_Strelka_Chun, Evenki_Chiringda, Evenki_Tutonchany, Evenki_Teteya	35	U+03b3
t͡ʃ	tʃ	ɲamapt͡ʃu, it͡ʃə-	Evenki_Strelka_Chun, Evenki_Chiringda, Evenki_Tutonchany, Evenki_Teteya	35	U+0074 U+0361 U+0283
h	h	ohikta, eːha	Evenki_Chiringda, Evenki_Tutonchany, Oroqen, Evenki_Teteya	35	U+0068
iˁ	iˤ	ħuˁjiˁrkiˁʧ-, tiˁmiˁn	Even	35	U+0069 U+02c1
