Grapheme	IPA	Examples	Languages	Frequence	Codepoints
^	NULL				
$	NULL				
-	<?>	əmə-, ŋənə-	Kur_Urmi, Nanai_Najkhin, Nanai_Bikin, Manchu, Evenki_Chiringda, Ulcha, Evenki_Teteya, Udihe, Oroch, Hezhe, Orok, Xibe, Even, Evenki_StonyTunguska, Negidal, Oroqen, Evenki_Khamnigan, Evenki_Strelka_Chun, Solon, Evenki_Tutonchany, Jurchen	100	U+002d
a	a	halgan, nuŋan	Nanai_Bikin, Evenki_Chiringda, Evenki_Strelka_Chun, Kur_Urmi, Ulcha, Nanai_Najkhin, Manchu, Evenki_Tutonchany, Evenki_StonyTunguska, Hezhe, Negidal, Jurchen, Evenki_Teteya, Udihe, Oroqen, Solon, Oroch, Orok, Evenki_Khamnigan	100	U+0061
ə$	ə	əmə-, ŋənə-	Nanai_Bikin, Hezhe, Kur_Urmi, Oroch, Evenki_StonyTunguska, Negidal, Oroqen, Udihe, Evenki_Chiringda, Ulcha, Orok, Evenki_Tutonchany, Nanai_Najkhin, Evenki_Teteya, Evenki_Khamnigan, Evenki_Strelka_Chun, Jurchen, Manchu, Solon	100	U+0259 U+0024
ə	ə	ŋənə-, gərbiː	Hezhe, Manchu, Kur_Urmi, Evenki_Chiringda, Evenki_StonyTunguska, Negidal, Jurchen, Nanai_Bikin, Evenki_Tutonchany, Evenki_Teteya, Oroqen, Evenki_Khamnigan, Solon, Ulcha, Nanai_Najkhin, Oroch, Evenki_Strelka_Chun, Udihe, Orok	100	U+0259
l	l	dolbo, ʤolo	Kur_Urmi, Evenki_Chiringda, Ulcha, Evenki_Teteya, Evenki_Strelka_Chun, Evenki_Tutonchany, Even, Evenki_StonyTunguska, Negidal, Nanai_Bikin, Oroqen, Hezhe, Orok, Evenki_Khamnigan, Nanai_Najkhin, Udihe, Xibe, Jurchen, Oroch, Manchu, Solon	100	U+006c
u	u	nuŋan, gun-	Orok, Evenki_Chiringda, Xibe, Evenki_Strelka_Chun, Evenki_Teteya, Kur_Urmi, Nanai_Bikin, Udihe, Ulcha, Manchu, Negidal, Nanai_Najkhin, Jurchen, Oroch, Evenki_Khamnigan, Evenki_Tutonchany, Even, Oroqen, Hezhe, Solon, Evenki_StonyTunguska	100	U+0075
a$	a	amŋa, ŋala	Manchu, Ulcha, Jurchen, Nanai_Najkhin, Nanai_Bikin, Kur_Urmi, Oroqen, Oroch, Negidal, Udihe, Evenki_Khamnigan, Solon, Evenki_Tutonchany, Evenki_Chiringda, Evenki_StonyTunguska, Evenki_Teteya, Hezhe, Evenki_Strelka_Chun, Orok	100	U+0061 U+0024
i	i	sji_, bji_	Xibe, Oroch, Negidal, Hezhe, Orok, Evenki_Strelka_Chun, Nanai_Najkhin, Kur_Urmi, Nanai_Bikin, Udihe, Manchu, Evenki_Chiringda, Ulcha, Jurchen, Evenki_Teteya, Evenki_Tutonchany, Even, Evenki_Khamnigan, Solon, Evenki_StonyTunguska, Oroqen	100	U+0069
n$	n	nuŋan, gun-	Evenki_Strelka_Chun, Even, Negidal, Evenki_Tutonchany, Evenki_Chiringda, Evenki_Teteya, Evenki_StonyTunguska, Hezhe, Nanai_Najkhin, Oroqen, Xibe, Evenki_Khamnigan, Manchu, Kur_Urmi, Orok, Nanai_Bikin, Solon, Ulcha, Jurchen, Oroch	100	U+006e U+0024
